1. Artículo;Año de Publicación;Periodo de Recolección de Datos;2. País en donde se realizó el estudio;3. Origen de los datos;4. Tamaño de la muestra;5. Causa de la deserción (o variable objetivo declarada);6. Variables Predictoras: Dimensiones_Predominantes;7. Variables Predictoras: Mejores Variables;8. Modelos de Aprendizaje Automático: Algoritmos_Evaluados;9. Modelos de Aprendizaje Automático: Mejor_Algoritmo;10. Métricas y Validación: Metricas_Reportadas;11. Métricas y Validación: Valor_Mejor_Metrica;12. Métricas y Validación: Tratamiento_Desbalanceo
ART24_SCP.pdf;2024;2019–2022.;Brasil;Registros Académicos (SIS);No reportado;Deserción escolar;ACAD-PERF;Age, student average grades, proportion of absences, race/color;Regresión Logística (LR);Regresión Logística (LR);Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.89;Ninguno reportado
ART26_SCP.pdf;2023;No reportado explícitamente (Año de publicación: 2023).;América Latina;No reportado;No reportado;Deserción estudiantil;ACAD-PERF;Curricular units 2nd semester (approved), Inflation rate, Nationality;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);No reportado;No reportado;Ninguno reportado
ART31_SCP.pdf;2022;No reportado explícitamente.;Brasil;Registros Académicos (SIS);No reportado;No reportado;SOCECO-SUP;assistance, previousMajor, age, publicSchool, subsidizedMeal;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART32_SCP.pdf;2023;2018–2021.;Ecuador;Plataformas LMS (Moodle/Blackboard);6350;Rendimiento académico;ACAD-BEHAV;Use of resources, use of activities, participation in classes;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.967;Ninguno reportado
ART33_SCP.pdf;2020;No reportado explícitamente.;Perú;Registros Académicos (SIS);976;Rendimiento académico y deserción;ACAD-PERF;Índice de rendimiento exógeno, relación de créditos aprobados;Decision Trees (DT), Redes Neuronales/Deep Learning (ANN/DL);Decision Trees (DT);Accuracy;Accuracy: 0.948;Ninguno reportado
ART34_SCP.pdf;2023;No reportado explícitamente (Año de publicación: 2023).;Colombia;Plataformas LMS (Moodle/Blackboard);27550;Rendimiento académico;ACAD-BEHAV;Créditos aprobados, Total de clics, Edad, Índice de necesidades insatisfechas;Naive Bayes (NB), Random Forest (RF);Random Forest (RF);Accuracy, F1-Score, Precision, Recall/Sensitivity;No reportado;Ninguno reportado
ART35_SCP.pdf;2024;2001–2019.;Colombia;Registros Académicos (SIS);5387;Rendimiento académico;ACAD-PERF;academic semester, course ID, academic credits, obtained grades;No reportado;No reportado;No reportado;No reportado;SMOTE / Oversampling
ART36_SCP.pdf;2024;No reportado explícitamente.;Paraguay;Encuestas socioeconómicas;84;Rendimiento académico;SOCECO-WORK;Course, attendance, grant information, city;Decision Trees (DT), Naive Bayes (NB), Regresión Logística (LR), Support Vector Machines (SVM);No reportado;Accuracy;Accuracy: 0.80;Ninguno reportado
ART37_SCP.pdf;2024;No reportado explícitamente.;Chile;Encuestas socioeconómicas;1266;Deserción estudiantil;DEMO-FAM;Family background, economic status, employment, work preferences;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART38_SCP.pdf;2023;No reportado explícitamente.;Brasil;Registros Académicos (SIS);No reportado;Deserción estudiantil;ACAD-PERF;ENEM grade, standard deviation of frequency and grades, average attendance;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART39_SCP.pdf;2024;2010–2013 (Cohortes de ingreso).;México;Registros Académicos (SIS);3499;Deserción estudiantil;ACAD-PERF;Gender, subject, credits, semester of curriculum, grade;Naive Bayes (NB);Naive Bayes (NB);No reportado;No reportado;Ninguno reportado
ART3_SCP.pdf;2025;2016–2020 (Rango de recolección para la revisión sistemática de literatura).;Brasil;Registros Académicos (SIS);762;Deserción institucional;ACAD-PERF;Percentage of courses cancellation, average grades, scholarship, attendance;Decision Trees (DT), Ensambles Híbridos, Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR);Ensambles Híbridos;Accuracy;No reportado;Undersampling
ART41_SCP.pdf;2024;2022.;México;Registros Académicos (SIS);No reportado;Rendimiento académico;ACAD-BEHAV;Horas de estudio, participación extracurricular, calificaciones previas;Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Random Forest (RF);Accuracy, F1-Score, Precision, Recall/Sensitivity;Accuracy: 0.925;Ninguno reportado
ART45_SCP.pdf;2022;No reportado explícitamente.;Argentina;Registros Académicos (SIS);No reportado;Deserción estudiantil;ACAD-PERF;Entry dates, courses taken, exam dates, results;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART46_SCP.pdf;2024;No reportado explícitamente.;Ecuador;Registros Académicos (SIS);No reportado;Rendimiento académico;ACAD-PERF;Partial grades, final grades, approval rate, failures, age, sex;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART52_SCP.pdf;2021;2016 (Pruebas SABER PRO).;Colombia;Registros Académicos (SIS);162030;Rendimiento académico;ACAD-PRE;SABER 11 scores, monthly family income, parents' education;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART54_SCP.pdf;2022;No reportado explícitamente.;Colombia;Registros Académicos (SIS);1865;Deserción escolar;DEMO-GEO;Latitude, distance from school, Sisbén score, extra-age metric;Ensambles Híbridos, Support Vector Machines (SVM);Ensambles Híbridos;No reportado;No reportado;Ninguno reportado
ART56_SCP.pdf;2025;No reportado explícitamente.;Perú;Registros Académicos (SIS);4424;Deserción estudiantil;ACAD-PERF;Curricular units passed in the first semester, tuition fee status, debtor;Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);AUC-ROC, Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.88;Ninguno reportado
ART60_SCP.pdf;2024;2015–2017 (Evaluaciones PLANEA).;México;Registros Académicos (SIS);1640;Rendimiento académico;INST-PROG;ENROLLED, LEVELIV-LC, LEVELI-LC, EVALUATED-MATH;Random Forest (RF);Random Forest (RF);No reportado;No reportado;Ninguno reportado
ART64_SCP.pdf;2023;2018–2019.;México;Registros Académicos (SIS);337;Deserción escolar;ACAD-PERF;Students' scores, clusters of class groups;K-Nearest Neighbors (KNN);No reportado;Cohen's Kappa;No reportado;Ninguno reportado
ART66_SCP.pdf;2025;No reportado explícitamente (Año de publicación: 2025).;Perú;Registros Académicos (SIS);4548;Rendimiento académico;ACAD-PERF;Age, Gender, Marital Status, Type of School, Total Credits Passed;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Regresión Logística (LR), Support Vector Machines (SVM);No reportado;Accuracy;No reportado;SMOTE / Oversampling
ART67_SCP.pdf;2022;No reportado explícitamente.;México;Registros Académicos (SIS);143326;Deserción estudiantil;ACAD-PERF;Average achieved in first period, scholarship percentage, age;Naive Bayes (NB), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Precision;Precision: 0.98;Ninguno reportado
ART70_SCP.pdf;2024;2021–2022.;Ecuador;Registros Académicos (SIS);774;Rendimiento académico;ACAD-PERF;Final average, enrolment numbers, gender, ethnicity, age;Decision Trees (DT), K-Nearest Neighbors (KNN), Regresión Logística (LR);Decision Trees (DT);Accuracy;Accuracy: 0.9954;Ninguno reportado
ART71_SCP.pdf;2021;2008–2019.;Perú;Registros Académicos (SIS);4365;Deserción estudiantil;ACAD-PRE;School type, College graduation age, Entry Mode;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF);No reportado;Accuracy, Precision;No reportado;SMOTE / Oversampling
ART75_SCP.pdf;2023;No reportado explícitamente (Año de publicación: 2023).;Colombia;Registros Académicos (SIS);No reportado;Riesgo de reprobar o desertar;ACAD-PERF;Academic History;Decision Trees (DT);Decision Trees (DT);No reportado;No reportado;Ninguno reportado
ART79_SCP.pdf;2025;No reportado explícitamente (Año de publicación: 2025).;Perú;Encuestas socioeconómicas;527;Deserción estudiantil;PSICO;Psychological support, prior academic performance (GPA), academic program;Decision Trees (DT), Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), Random Forest (RF);No reportado;F1-Score;No reportado;SMOTE / Oversampling
ART7_SCP.pdf;2022;2022 (Primer semestre).;Chile;Registros Académicos (SIS);1266;Deserción estudiantil;ACAD-PERF;Weighted Average Grades, gender, parental education level;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART85_SCP.pdf;2020;No reportado explícitamente (Año de publicación: 2020).;Colombia;Registros Académicos (SIS);No reportado;Rendimiento académico y deserción;ACAD-PERF;Student status, academic sanction, age, gender;Decision Trees (DT);Decision Trees (DT);Accuracy;Accuracy: 0.926;Ninguno reportado
ART86_SCP.pdf;2021;No reportado explícitamente.;Brasil;Registros Académicos (SIS);1342;Deserción estudiantil;ACAD-PERF;Academic, social, and demographic information, subjects taken;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART87_SCP.pdf;2020;2012 (Datos del Censo de Educación Superior).;Brasil;Registros Académicos (SIS);2991;Deserción o permanencia;ACAD-PERF;Índice de Aproveitamento Acumulado (IAA), puntos Vestibular, Reside en ciudad polo, edad;Regresión Logística (LR);Regresión Logística (LR);Accuracy;Accuracy: 0.90;Ninguno reportado
ART88_SCP.pdf;2020;No reportado explícitamente (Año de publicación: 2020).;Colombia;Registros Académicos (SIS);20124;Deserción estudiantil;ACAD-PERF;Approved courses, quantity and results of attended courses;Decision Trees (DT), Naive Bayes (NB);No reportado;Accuracy;Accuracy: 0.80;Ninguno reportado
ART89_SCP.pdf;2020;No reportado explícitamente.;Ecuador;Registros Académicos (SIS);2097;Deserción estudiantil;ACAD-PRE;Application grade, vulnerability index, academic regime;Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR);Redes Neuronales/Deep Learning (ANN/DL);No reportado;No reportado;Ninguno reportado
ART91_SCP.pdf;2020;No reportado explícitamente.;Brasil;Plataformas LMS (Moodle/Blackboard);No reportado;Deserción estudiantil;ACAD-BEHAV;Interacción con recursos de aprendizaje, desarrollo de actividades;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: 0.77;Ninguno reportado
ART93_SCP.pdf;2024;2009–2019.;Perú;Encuestas socioeconómicas;329;Deserción estudiantil;SOCECO-INC;Cycle, age, zonal address, total income, family load;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Decision Trees (DT);Accuracy;Accuracy: 0.76;SMOTE / Oversampling
ART94_SCP.pdf;2025;No reportado explícitamente.;México;Registros Académicos (SIS);596;Riesgo de deserción;ACAD-PERF;Specific course grade, average and cumulative grades of each semester;K-Nearest Neighbors (KNN), Support Vector Machines (SVM);Support Vector Machines (SVM);AUC-ROC, Accuracy;Accuracy: 0.7885;Ninguno reportado
ART95_SCP.pdf;2024;No reportado explícitamente.;Ecuador;No reportado;No reportado;Deserción estudiantil;ACAD-PERF;Curricular units 2nd sem (approved), Tuition fees up to date;Decision Trees (DT), Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL);Ensambles Híbridos;No reportado;No reportado;Ninguno reportado
ART158_SCP.pdf;2021;(Datos recopilados: 2000–2018)*;Brasil;Registros Académicos (SIS);744;Evasión del curso;ACAD-PERF;médias do primeiro, segundo e terceiro semestre;Decision Trees (DT), Random Forest (RF);Random Forest (RF);AUC-ROC, Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.8558;Ninguno reportado
ART161_SCP.pdf;2024;No reportado;Perú;Encuestas socioeconómicas;237;Deserción estudiantil;ACAD-PRE;Rendimiento académico en secundaria, asignaturas reprobadas, repetición de año;Gradient Boosting (XGBoost/LightGBM), Redes Neuronales/Deep Learning (ANN/DL);Gradient Boosting (XGBoost/LightGBM);AUC-ROC, Accuracy, Precision, Recall/Sensitivity;AUC-ROC: 0.961;Ninguno reportado
ART163_SCP.pdf;2020;(Aprox. según referencias);Brasil;Plataformas LMS (Moodle/Blackboard);251 662;Early prediction;ACAD-BEHAV, DEMO-BIO, DEMO-FAM, INST-PROG, PSICO;actividades de acceso a los cursos, comportamientos de aprendizaje de los estudiantes, patrones de aprendizaje de salto, antecedentes educativos, edad, género, nacionalidad.;Random Forest (RF), Gradient Boosting Machine, Adaptive Boosting (AdaBoost) y XGBoost.;Adaptive Boosting (AdaBoost);Balanced Accuracy score (BA);Acuracy: 0.91 - 0.9495;Algoritmos Cost-Sensitive
ART167_SCP.pdf;2021;(Aprox. según referencias);Brasil;Registros Académicos (SIS);5582;Dropout status;No reportado;No reportado;SVM (Máquina de Vectores de Soporte) y el eXtreme Gradient Boosting (XGBoost). Además, se utiliza SHapley Additive exPlanation (SHAP).;Support Vector Machines (SVM);Accuracy, Precision, Recall, Puntuación F1;puntuación F1: 0.9503;SMOTE / ENN
ART168_SCP.pdf;2021;(Datos recopilados: otoño 2014 – primavera 2019)*;México;Registros Académicos (SIS);10635;Deserción escolar;ACAD-BEHAV;período, último semestre cursado, créditos cursados, asistencia, materias reprobadas, programa;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF), Support Vector Machines (SVM);Decision Trees (DT);Accuracy;Accuracy: 0.9421;Ninguno reportado
ART172_SCP.pdf;2024;(Datos recopilados: ciclo julio-diciembre 2024)*;México;Encuestas socioeconómicas;74;Academic performance;SOCECO-EDU;personal, self-concept, motivational, sociocultural, parental education, economic;K-Nearest Neighbors (KNN), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);Accuracy, Precision, Recall/Sensitivity;Accuracy: 1;SMOTE / Oversampling
ART174_SCP.pdf;2023;No reportado;Perú;Registros Académicos (SIS);827;Pass or fail;ACAD-PRE;gender, college entrance score, age of graduation, time elapsed since graduation;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Regresión Logística (LR);Random Forest (RF);Accuracy, F1-Score, Precision, Recall/Sensitivity;Accuracy: 0.80;Ninguno reportado
ART176_SCP.pdf;2020;No reportado;Cuba;Registros Académicos (SIS);456;Dropout before end of first year;ACAD-PERF;academic performance in Mathematics and Programming;J48, MLP (Multi-Layer Perceptron), Naive Bayes.;MLP (Multi-Layer Perceptron);Accuracy;Accuracy: 0.9671;Ninguno reportado
ART177_SCP.pdf;2025;(Base de datos histórica desde 2011)*;Brasil;Registros Académicos (SIS);69;Graduation or dropout status;ACAD-PERF;cr_acumulado, primeiro_cr, method of entry;Decision Trees (DT), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);AUC-ROC, Accuracy, F1-Score, Precision, Recall/Sensitivity;Accuracy: 0.9226;Ninguno reportado
ART180_SCP.pdf;2025;(Datos recopilados: mayo 2014 – febrero 2019)*;Ecuador;Registros Académicos (SIS);10002;Student dropout;ACAD-BEHAV;student irregularity, class attendance;K-Nearest Neighbors (KNN), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);AUC-ROC, F1-Score;AUC-ROC: 0.95;SMOTE / Oversampling
ART181_SCP.pdf;2024;(Datos recopilados durante una ventana de 10 años)*;Ecuador;Registros Académicos (SIS);1000;Study withdrawal or non-completion;SOCECO-INC;HS average grade, Quintile, Parents' income;K-Nearest Neighbors (KNN), Naive Bayes (NB), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Precision, Recall/Sensitivity;Precision: 0.89;Ninguno reportado
ART183_SCP.pdf;2026;No reportado;Perú;Registros Académicos (SIS);4424;Student dropout;SOCECO-INC;Tuition fees up to date, GDP, Mother's occupation, Daytime/evening attendance, Debtor;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF);Random Forest (RF);AUC-ROC, Accuracy, F1-Score, Precision, Recall/Sensitivity;Accuracy: 0.93;Ninguno reportado
ART184_SCP.pdf;2019;(Aprox. según referencias);Brasil;Registros Académicos (SIS);760;Evasão do curso;ACAD-PERF;sexo, cota, escola pública, benefício, médias, disciplinas cursadas;Random Forest (RF);Random Forest (RF);Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.9105;SMOTE / Oversampling
ART189_SCP.pdf;2022;(Datos recopilados de cohortes de ingreso 2012–2017)*;Chile;Registros Académicos (SIS);336;Attrition;ACAD-PERF;average accumulated grades;Decision Trees (DT);Decision Trees (DT);AUC-ROC, Accuracy, F1-Score;Accuracy: 0.8382;Ninguno reportado
ART190_SCP.pdf;2024;(Datos recopilados: 2012 – 2023)*;Costa Rica;Registros Académicos (SIS);16949;Student dropout;ACAD-PERF;Total of approved credits, academic grades;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: 0.9543;Ninguno reportado
ART191_SCP.pdf;2018;(Datos recopilados de cohortes 2009 a 2016)*;Chile;Registros Académicos (SIS);11156;Attrition;ACAD-PRE;secondary education average grade, admission math score, student's program;Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0,869;Ninguno reportado
ART192_SCP.pdf;2025;(Datos recopilados: enero 2020 – julio 2023)*;Perú;Registros Académicos (SIS);249043;Dropout probability;ACAD-PERF;semester attended, year of enrollment, program of study, GPA;Random Forest (RF), Regresión Logística (LR);Random Forest (RF);Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.859;Ninguno reportado
ART193_SCP.pdf;2023;(Datos recopilados: 2008–2018)*;Colombia;Registros Académicos (SIS);4738;Academic performance;ACAD-PERF;distance traveled per journey, age, grades;Decision Trees (DT), K-Nearest Neighbors (KNN), Naive Bayes (NB), Support Vector Machines (SVM);K-Nearest Neighbors (KNN);Accuracy;Accuracy: 0.80;Ninguno reportado
ART194_SCP.pdf;2021;No reportado;Colombia;Registros Académicos (SIS);No reportado;Student desertion;ACAD-PERF;Average of the student the previous semester, cumulative average, approved credits, subject loss;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR);Random Forest (RF);Accuracy, F1-Score;Accuracy: 0.97;Ninguno reportado
ART196_SCP.pdf;2024;No reportado;México;Registros Académicos (SIS);70000;Student dropout risk;ACAD-PERF;GPA, failed subjects, withdrawn subjects, socioeconomic level;Support Vector Machines (SVM);Support Vector Machines (SVM);AUC-ROC, Accuracy, F1-Score, Precision, Recall/Sensitivity;AUC-ROC: 0.9361;Ninguno reportado
ART197_SCP.pdf;2020;(Aprox. según referencias);Ecuador;Registros Académicos (SIS);530;Student dropout;ACAD-PERF;Final global note, number of semesters, last semester, total number of credits;Regresión Logística (LR);Regresión Logística (LR);Accuracy;Accuracy: 0.97;SMOTE / Oversampling
ART199_SCP.pdf;2020;(Aprox. según referencias);Chile;Registros Académicos (SIS);856;Internal transfer / student dropout;ACAD-PERF;Success-to-failure ratio (SFR), Tuition fee exemption (TFE);Regresión Logística (LR);Regresión Logística (LR);No reportado;No reportado;Ninguno reportado
ART204_SCP.pdf;2020;(Aprox. según referencias);Colombia;Encuestas socioeconómicas;6617;Abandoning a degree without graduating;PSICO;ASSIST tests, Learning styles, State test score, Academic risk, Depression level;Regresión Logística (LR);Regresión Logística (LR);Recall/Sensitivity;Recall/Sensitivity: 0.6197;SMOTE / Oversampling
ART205_SCP.pdf;2024;No reportado;Perú;Registros Académicos (SIS);1440;Student dropout;ACAD-PERF;Age, term, method of financing;Ensambles Híbridos, Random Forest (RF);Random Forest (RF);Accuracy, Precision, Recall/Sensitivity;Accuracy: 0.90;SMOTE / Oversampling
ART206_SCP.pdf;2022;(Aprox. según referencias);Perú;Registros Académicos (SIS);218;Academic Performance;ACAD-PERF;CAP2BI, IMPRESPO, CAP1BI, CAP3BI;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);Accuracy, Recall/Sensitivity;Accuracy: 0.93;SMOTE / Oversampling
ART207_SCP.pdf;2025;No reportado;Ecuador;Registros Académicos (SIS);632;Academic dropout;SOCECO-INC;SEI, DAILY_MEALS, PROGRESS_PERCENTAGE, AVERAGE_GRADE, BUS_ENTRY_COUNT, WALK_ENTRY;Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), Redes Neuronales/Deep Learning (ANN/DL);Ensambles Híbridos;AUC-ROC, F1-Score, Recall/Sensitivity;AUC-ROC: 0.995;SMOTE / Oversampling
ART208_SCP.pdf;2023;(Aprox. según referencias);Perú;Registros Académicos (SIS);10401;Student dropout;ACAD-PERF;Promedio general, notas en matemáticas, inasistencia;Decision Trees (DT), Random Forest (RF), Regresión Logística (LR);Regresión Logística (LR);AUC-ROC, Accuracy;Accuracy: 0.933;Ninguno reportado
ART224_SCP.pdf;2021;(Aprox. según referencias);Perú;Encuestas socioeconómicas;237;Deserción estudiantil;SOCECO-EDU;Factores académicos e individuales;Decision Trees (DT);Decision Trees (DT);Accuracy, Cohen's Kappa;Accuracy: 0.8776;Ninguno reportado
ART226_SCP.pdf;2023;(Aprox. según referencias);Ecuador;Registros Académicos (SIS);241515;Student dropout;ACAD-PERF;CANT_MATERIAS_AP, CANT_MATERIAS_REP, CANT_CREDITOS_AP, PROM_GLOBAL;K-Nearest Neighbors (KNN), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Accuracy, Precision;Acuracy: 0.98870;Ninguno reportado
ART227_SCP.pdf;2019;(Aprox. según referencias);Brasil;Plataformas LMS (Moodle/Blackboard);71164;Dropout;ACAD-BEHAV;access_day_N, notas, entrega de actividades;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.989;Ninguno reportado
ART228_SCP.pdf;2020;(Datos recopilados: 2008–2018)*;Brasil;Registros Académicos (SIS);24890;Dropout vs Success;ACAD-PERF;No reportado;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);Accuracy, Sensitivity, Specificity, AUC;AUC: 0.9735 (0.0017);Ninguno reportado
ART230_SCP.pdf;2024;No reportado;Perú;Registros Académicos (SIS);500;Academic success;ACAD-BEHAV;Study hours, previous exam scores;random forest;random forest;No reportado;No reportado;Ninguno reportado
